iter	Passed	Remaining
0	159	159012
1	161	80829
2	165	54999
3	168	41965
4	172	34289
5	177	29403
6	179	25393
7	180	22375
8	181	20027
9	184	18253
10	185	16686
11	187	15399
12	188	14344
13	190	13448
14	192	12640
15	193	11928
16	195	11302
17	198	10805
18	199	10309
19	211	10375
20	213	9940
21	214	9548
22	216	9196
23	218	8865
24	222	8672
25	223	8375
26	224	8098
27	225	7842
28	227	7603
29	228	7378
30	229	7173
31	230	6975
32	231	6791
33	232	6618
34	234	6456
35	235	6306
36	236	6162
37	238	6028
38	239	5902
39	242	5818
40	243	5705
41	245	5596
42	246	5490
43	247	5387
44	249	5293
45	250	5205
46	252	5117
47	253	5032
48	255	4953
49	256	4871
50	257	4792
51	258	4716
52	260	4647
53	261	4578
54	262	4515
55	264	4451
56	265	4388
57	266	4327
58	267	4269
59	268	4212
60	270	4158
61	271	4105
62	272	4054
63	273	4005
64	275	3959
65	276	3913
66	277	3868
67	278	3823
68	280	3783
69	281	3743
70	283	3705
71	284	3667
72	285	3630
73	287	3594
74	288	3560
75	289	3524
76	291	3490
77	292	3456
78	293	3427
79	295	3398
80	296	3368
81	298	3337
82	298	3300
83	299	3270
84	301	3240
85	302	3211
86	303	3182
87	304	3154
88	305	3126
89	306	3099
90	307	3074
91	309	3050
92	310	3025
93	311	3000
94	312	2976
95	313	2951
96	314	2927
97	315	2904
98	316	2881
99	317	2859
100	318	2837
101	319	2815
102	320	2794
103	322	2774
104	323	2757
105	324	2739
106	325	2718
107	327	2701
108	328	2683
109	329	2665
110	330	2648
111	331	2631
112	333	2614
113	334	2597
114	335	2581
115	336	2566
116	338	2553
117	339	2540
118	340	2523
119	341	2507
120	342	2491
121	343	2474
122	344	2459
123	346	2444
124	347	2429
125	348	2415
126	349	2399
127	350	2385
128	351	2372
129	352	2359
130	353	2346
131	354	2333
132	355	2320
133	356	2307
134	358	2294
135	359	2282
136	360	2269
137	361	2256
138	362	2244
139	363	2231
140	364	2220
141	365	2206
142	366	2196
143	367	2186
144	369	2176
145	370	2165
146	371	2154
147	372	2143
148	373	2133
149	374	2122
150	375	2112
151	376	2102
152	378	2092
153	379	2082
154	380	2072
155	381	2063
156	382	2053
157	383	2044
158	384	2034
159	385	2025
160	386	2013
161	387	2004
162	388	1995
163	389	1986
164	390	1978
165	391	1969
166	393	1961
167	394	1952
168	395	1943
169	396	1935
170	397	1927
171	398	1919
172	399	1910
173	400	1902
174	401	1894
175	402	1886
176	404	1878
177	405	1870
178	406	1863
179	407	1856
180	408	1848
181	409	1841
182	410	1833
183	411	1826
184	412	1818
185	413	1811
186	414	1803
187	415	1796
188	416	1789
189	417	1781
190	418	1774
191	420	1767
192	421	1761
193	422	1754
194	423	1747
195	424	1741
196	425	1735
197	426	1729
198	428	1723
199	429	1716
200	430	1710
201	431	1704
202	432	1698
203	433	1692
204	434	1686
205	435	1679
206	436	1673
207	438	1667
208	439	1661
209	440	1656
210	441	1649
211	442	1644
212	443	1638
213	444	1632
214	445	1626
215	446	1620
216	447	1614
217	448	1609
218	449	1604
219	450	1598
220	452	1593
221	452	1587
222	454	1582
223	455	1577
224	456	1572
225	457	1566
226	458	1561
227	459	1556
228	460	1550
229	461	1545
230	462	1540
231	463	1535
232	464	1530
233	465	1525
234	467	1520
235	468	1515
236	469	1511
237	470	1506
238	471	1500
239	472	1496
240	473	1491
241	474	1486
242	475	1481
243	476	1477
244	477	1472
245	478	1468
246	480	1463
247	481	1458
248	482	1454
249	483	1449
250	484	1445
251	485	1440
252	486	1436
253	487	1431
254	488	1427
255	489	1423
256	491	1420
257	492	1416
258	493	1413
259	495	1409
260	496	1404
261	497	1401
262	498	1396
263	499	1392
264	500	1388
265	501	1384
266	502	1380
267	503	1376
268	504	1372
269	505	1367
270	506	1363
271	508	1359
272	509	1355
273	510	1351
274	511	1347
275	512	1343
276	513	1339
277	514	1335
278	515	1331
279	516	1328
280	517	1324
281	518	1320
282	519	1316
283	520	1312
284	521	1308
285	522	1305
286	523	1301
287	524	1297
288	525	1293
289	526	1290
290	528	1286
291	529	1283
292	530	1280
293	531	1277
294	532	1273
295	534	1270
296	535	1267
297	536	1263
298	537	1260
299	538	1256
300	539	1252
301	540	1249
302	541	1245
303	542	1242
304	545	1242
305	546	1239
306	547	1236
307	548	1233
308	550	1229
309	551	1226
310	552	1223
311	553	1219
312	554	1216
313	555	1213
314	556	1209
315	557	1207
316	559	1205
317	560	1202
318	561	1199
319	562	1196
320	563	1192
321	564	1189
322	566	1186
323	567	1183
324	568	1180
325	569	1177
326	570	1174
327	572	1172
328	573	1169
329	574	1166
330	575	1164
331	577	1161
332	578	1158
333	579	1156
334	580	1153
335	581	1149
336	582	1146
337	583	1143
338	585	1140
339	586	1138
340	587	1135
341	588	1132
342	589	1129
343	590	1126
344	591	1123
345	592	1120
346	593	1117
347	594	1114
348	595	1111
349	596	1108
350	597	1105
351	598	1102
352	600	1099
353	601	1097
354	602	1094
355	603	1091
356	604	1088
357	605	1086
358	606	1083
359	608	1081
360	609	1078
361	610	1075
362	611	1073
363	612	1070
364	613	1067
365	615	1065
366	616	1062
367	617	1060
368	618	1057
369	619	1054
370	620	1051
371	621	1049
372	622	1046
373	623	1043
374	624	1041
375	625	1038
376	626	1035
377	627	1033
378	629	1030
379	630	1027
380	631	1025
381	632	1022
382	633	1020
383	634	1017
384	635	1015
385	636	1012
386	637	1010
387	638	1007
388	639	1005
389	641	1002
390	642	1000
391	643	997
392	644	995
393	645	992
394	646	990
395	647	987
396	648	984
397	649	982
398	650	979
399	651	977
400	652	974
401	653	972
402	655	970
403	656	968
404	657	965
405	658	963
406	659	961
407	660	958
408	662	956
409	663	954
410	664	952
411	665	949
412	666	947
413	667	945
414	668	943
415	670	940
416	671	938
417	672	936
418	673	934
419	674	931
420	676	929
421	677	927
422	678	925
423	679	922
424	680	920
425	681	918
426	682	915
427	683	914
428	685	912
429	686	910
430	687	908
431	689	906
432	690	904
433	691	902
434	692	899
435	693	897
436	694	895
437	695	892
438	697	890
439	698	888
440	699	886
441	700	884
442	701	882
443	702	880
444	704	878
445	705	875
446	706	873
447	707	871
448	708	869
449	709	867
450	710	865
451	711	863
452	712	860
453	713	858
454	714	856
455	716	854
456	717	851
457	718	849
458	719	847
459	720	845
460	721	843
461	722	841
462	723	839
463	724	837
464	726	835
465	727	833
466	728	831
467	729	829
468	730	827
469	731	825
470	732	822
471	733	820
472	735	818
473	735	816
474	737	814
475	738	812
476	738	810
477	739	808
478	740	805
479	741	803
480	742	801
481	743	799
482	744	797
483	745	795
484	746	793
485	747	790
486	748	788
487	749	786
488	750	784
489	752	782
490	753	780
491	754	778
492	755	776
493	756	774
494	757	772
495	758	770
496	759	768
497	760	766
498	761	764
499	762	762
500	763	760
501	764	758
502	765	755
503	766	753
504	767	751
505	768	749
506	769	747
507	769	745
508	771	743
509	772	741
510	772	739
511	773	737
512	775	735
513	775	733
514	776	731
515	778	729
516	779	727
517	780	725
518	781	724
519	782	722
520	783	720
521	784	718
522	785	716
523	786	714
524	787	712
525	788	710
526	789	708
527	790	706
528	791	704
529	792	702
530	793	701
531	794	699
532	795	697
533	796	695
534	797	693
535	798	691
536	799	689
537	800	687
538	801	685
539	802	683
540	803	682
541	804	680
542	805	678
543	807	676
544	808	674
545	809	672
546	810	671
547	811	669
548	812	667
549	813	665
550	814	663
551	815	661
552	816	659
553	817	657
554	818	656
555	819	654
556	820	652
557	824	653
558	825	651
559	826	649
560	827	647
561	828	646
562	829	644
563	831	642
564	831	640
565	832	638
566	833	636
567	834	634
568	836	633
569	837	631
570	838	630
571	839	628
572	840	626
573	841	624
574	842	622
575	843	621
576	844	619
577	845	617
578	846	615
579	847	613
580	848	612
581	849	610
582	851	608
583	852	607
584	853	605
585	854	603
586	855	601
587	856	599
588	857	598
589	858	596
590	859	594
591	860	592
592	861	591
593	862	589
594	863	587
595	865	586
596	866	584
597	867	583
598	868	581
599	869	579
600	870	578
601	871	576
602	872	574
603	873	572
604	874	570
605	875	569
606	876	567
607	877	565
608	878	564
609	879	562
610	880	560
611	881	559
612	882	557
613	883	555
614	884	553
615	885	552
616	886	550
617	887	548
618	888	547
619	889	545
620	890	543
621	891	542
622	892	540
623	893	538
624	895	537
625	896	535
626	897	533
627	898	532
628	899	530
629	900	528
630	901	527
631	902	525
632	903	524
633	905	522
634	906	520
635	907	519
636	908	517
637	909	515
638	910	514
639	911	512
640	912	511
641	913	509
642	914	507
643	915	506
644	916	504
645	917	502
646	918	501
647	919	499
648	920	497
649	921	496
650	922	494
651	923	492
652	924	491
653	925	489
654	926	488
655	927	486
656	928	484
657	929	483
658	930	481
659	931	479
660	932	478
661	933	476
662	934	475
663	935	473
664	936	472
665	937	470
666	939	468
667	940	467
668	941	465
669	942	464
670	943	462
671	944	460
672	945	459
673	946	457
674	947	456
675	948	454
676	949	452
677	950	451
678	951	449
679	952	448
680	953	446
681	954	444
682	955	443
683	956	441
684	957	440
685	958	438
686	959	437
687	961	435
688	962	434
689	963	432
690	964	431
691	965	429
692	966	428
693	967	426
694	968	424
695	969	423
696	970	421
697	971	420
698	972	418
699	973	417
700	974	415
701	975	414
702	976	412
703	977	411
704	978	409
705	979	407
706	980	406
707	981	404
708	982	403
709	983	401
710	985	400
711	986	398
712	987	397
713	988	395
714	989	394
715	990	392
716	991	391
717	992	389
718	993	388
719	994	386
720	995	385
721	996	383
722	997	382
723	998	380
724	999	379
725	1000	377
726	1001	376
727	1003	374
728	1004	373
729	1005	371
730	1006	370
731	1007	368
732	1008	367
733	1009	365
734	1009	364
735	1010	362
736	1012	361
737	1013	359
738	1014	358
739	1015	356
740	1016	355
741	1017	353
742	1018	352
743	1019	350
744	1020	349
745	1021	347
746	1022	346
747	1023	344
748	1024	343
749	1025	341
750	1026	340
751	1027	338
752	1028	337
753	1029	336
754	1031	334
755	1032	333
756	1033	331
757	1034	330
758	1035	328
759	1036	327
760	1037	325
761	1038	324
762	1039	322
763	1040	321
764	1041	319
765	1042	318
766	1043	316
767	1044	315
768	1045	313
769	1046	312
770	1047	311
771	1048	309
772	1049	308
773	1050	306
774	1051	305
775	1052	303
776	1053	302
777	1054	300
778	1055	299
779	1056	297
780	1057	296
781	1058	295
782	1059	293
783	1060	292
784	1061	290
785	1062	289
786	1063	287
787	1064	286
788	1065	285
789	1067	283
790	1068	282
791	1069	280
792	1070	279
793	1071	278
794	1072	276
795	1073	275
796	1074	273
797	1075	272
798	1076	270
799	1077	269
800	1078	267
801	1079	266
802	1081	265
803	1082	263
804	1083	262
805	1084	260
806	1085	259
807	1086	258
808	1087	256
809	1088	255
810	1089	253
811	1090	252
812	1091	251
813	1092	249
814	1093	248
815	1095	247
816	1096	245
817	1098	244
818	1099	242
819	1100	241
820	1101	240
821	1103	238
822	1104	237
823	1105	236
824	1107	235
825	1110	233
826	1111	232
827	1113	231
828	1115	230
829	1116	228
830	1117	227
831	1118	225
832	1120	224
833	1122	223
834	1123	222
835	1125	220
836	1126	219
837	1128	218
838	1129	216
839	1130	215
840	1132	214
841	1133	212
842	1135	211
843	1136	209
844	1137	208
845	1138	207
846	1140	205
847	1142	204
848	1143	203
849	1144	202
850	1145	200
851	1147	199
852	1148	197
853	1149	196
854	1150	195
